id,peilvak_code,streefpeil,overlastpeil
1,03150-01,-2.40,-1.40
2,03150-02,-2.85,-1.65
3,03150-03,-2.40,-1.50
4,03150-04,-3.10,-2.40
5,03150-05,-3.10,-2.50
6,03150-06,-3.10,-2.50
7,03150-07,-2.75,-1.45
8,03150-08,-2.30,-1.80
9,03150-09,-2.60,-2
10,03150-10,-3.9,-3.55
11,03150-11,-1.85,-1.35
12,03150-12,-2.70,-2.00
13,03150-13,-3.00,-2.20
14,03150-14,-2.35,-1.85
15,03150-15,-1.45,-0.95
16,03150-16,-2.35,-1.85
17,03150-17,-2.15,-1.65
18,03150-18,-3.00,-1.50
19,03150-19,-3.40,-2.30
20,03150-20,-3.40,-2.00
21,03150-21,-3.4,-3
22,03150-22,-2.70,-2.20
23,03150-23,-3.7,-2.7
24,03150-24,-3.7,-3.1
25,03150-25,-3.15,-2.25
26,03150-26,-3.6,-3.4
27,03150-27,-3.75,-3.35
28,03150-28,-3.10,-2.30
29,03150-30,-3.30,-2.80
30,03150-31,-3.45,-2.95
31,03150-32,-3.50,-1.50
32,03150-33,-3.70,-3.20
33,03150-34,-3.70,-3.00
34,03150-35,-3.40,-2.70
35,03150-36,-3.35,-2.55
36,03150-37,-3.00,-2.00
37,03150-38,-3.70,-1.70
38,03150-39,-3.60,-3.10
39,03150-40,-3.20,-2.70
40,03150-41,-1.85,-1.35
41,03150-42,-2.85,-2.05
42,03150-43,-3.05,-2.15
43,03150-44,-2.80,-2.30
44,03150-45,-3.50,-2.00
45,03150-46,-3.70,-3.30
46,03150-47,-3.15,-2.35
47,03150-48,-3.70,-2.70
48,03150-49,-3.60,-2.60
49,03150-50,-3.20,-2.70
50,03150-51,-3.15,-2.25
51,03150-52,-2.75,-2.25
52,03350-01,-3.40,-2.90
