id,peilvak_code,wl_node_up,wl_node_up2,wl_node_down,wl_node_middle,wl_node_select,,,,,,,
1,03150-04,,,28967,,28967,,,,,,,
2,03150-05,,,29480,,29480,,,,,,,
3,03150-06,,,29998,,29998,,,,,,,
4,03150-10,29542,28638,28620,27178,28620,,,,,,,
5,03150-19,,,,27352,27352,,,,,,,
6,03150-20,26411,,29230,,29230,,,,,,,
7,03150-21,26576,,23631,30141,23631,,,,,,,
8,03150-23,29021,29240,27123,,27123,,,,,,,
9,03150-24,29014,27228,,,27228,,,,,,,
10,03150-27,28209,,27907,29921,27907,,,,,,,
11,03150-37,,,28668,,28668,,,,,,,
12,03150-26,,,,27559,27559,,,,,,,
