NaamTMX,CodeDAMO,structure_type,structure_id,sturing,peilvak_boven,streefpeil_boven,overlastpeil_boven,peilvak_beneden,streefpeil_beneden,overlastpeil_beneden,increment,kruin_min,kruin_max,node_id_up,node_id_down
ZandhorstDe,KST-Q-8823,v2_weir,276,aan,0315-23,-3.7,-2.7,0315-10,-3.9,-3.55,0.05,-4.65,-2.97,27123,28638
Krusemanlaan,KST-Q-8810,v2_weir,298,aan,0315-21,-3.4,-3,0315-27,-3.7,-3.35,0.05,-4.39,-2.46,23631,28209
Beukenlaan,KST-Q-8811,v2_weir,294,aan,0315-27,-3.75,-3.35,0315-10,-3.9,-3.5,0.05,-4.59,-3.21,27907,29542
Veenhuizerweg,KST-Q-8808,v2_weir,326,aan,0315-06,-3.10,-2.50,0315-21,-3.40,-3.00,0.05,-4.03,-2.31,29998,26576
VorkDe,KST-Q-8820,v2_weir,317,aan,0315-20,-3.40,-2.00,0315-23,-3.70,-2.7,0.05,-4.41,-2.72,29230,29240
WesterwegDAF,KST-Q-8822,v2_weir,284,aan,0315-24,-3.7,-3.1,0315-23,-3.70,-2.7,0.05,-4.79,-3.13,27228,29021
Pannekeetweg,KST-D-3,v2_weir,289,aan,0315-24,-3.7,-3.1,0315-19,-3.40,-2.30,0.05,-4.33,-2.55,29014,27352
Hasselaarweg,KST-Q-8819,v2_weir,321,aan,0315-05,-3.10,-2.50,0315-20,-3.40,-2.00,0.05,-3.61,-2.18,29480,26411
Schoutenbosweg,KST-Q-8814,v2_weir,309,aan,0315-04,-3.10,-2.40,0315-20,-3.40,-2.00,0.05,-3.74,-1.93,28967,28974
Oostertocht,KST-B-1734,v2_weir,11311,aan,0315-37,-3.00,-2.00,0315-10,-3.9,-3.55,0.05,-4.85,-2.83,28668,28620
